case,variant,rows,k,q,columns,reversed,sample,iterations,elapsed_ns,ns_per_call,cpu_mhz,median,mean,stddev,ci95_mean_low,ci95_mean_high
small,context_default,16,4,4,16,0,2,512,22350700,43653.7109375,3022.52,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_default,16,4,4,16,0,3,512,22598800,44138.28125,3022.52,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_default,16,4,4,16,0,4,512,22571600,44085.15625,2801.3600000000001,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_default,16,4,4,16,0,5,512,23195900,45304.4921875,2764.5,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_default,16,4,4,16,0,6,512,23544400,45985.15625,2801.3600000000001,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_default,16,4,4,16,0,7,512,22303700,43561.9140625,2838.2200000000003,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_default,16,4,4,16,0,8,512,22057100,43080.2734375,2875.0799999999999,44085.15625,44207.573784722219,1028.9572540028328,43254.073396012929,45161.074173431509
small,context_forced,16,4,4,16,0,0,2048,40937800,19989.16015625,2690.7799999999997,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,1,2048,40634300,19840.966796875,2764.5,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,2,2048,42167100,20589.404296875,2727.6399999999999,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,3,2048,39957600,19510.546875,2801.3600000000001,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,4,2048,40263000,19659.66796875,2764.5,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,5,2048,38942400,19014.84375,2727.6399999999999,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,6,2048,39935800,19499.90234375,2727.6399999999999,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,7,2048,41225400,20129.58984375,2653.9200000000001,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,context_forced,16,4,4,16,0,8,2048,39422700,19249.365234375,2875.0799999999999,19659.66796875,19720.383029513891,477.67699208838144,19277.73568351199,20163.030375515791
small,scalar_prevalidated,16,4,4,16,0,0,16384,30935000,1888.12255859375,2727.6399999999999,1887.701416015625,1883.4716796875,29.869205518435152,1855.7928825737501,1911.1504768012499
small,scalar_prevalidated,16,4,4,16,0,1,16384,30450400,1858.544921875,2653.9200000000001,1887.701416015625,1883.4716796875,29.869205518435152,1855.7928825737501,1911.1504768012499
